Planet Name,Host Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Equilibrium Temperature [K],Insolation Flux [Earth Flux],Planet Density [g/cm**3],Eccentricity,Impact Parameter,Ratio of Semi-Major Axis to Stellar Radius,habitability_score
HATS-17 b,HATS-17,1,1,Transit,2016,16.254611,8.709,425.25654,1.338,814.0,72.7,3.5,0.029,0.432,25.8,0.47022973089642656
TOI-1260 c,TOI-1260,1,3,Transit,2021,7.493134,2.76,13.2,0.04153,651.0,29.81,3.45,0.0,0.75,20.99,0.4475582503051352
Kepler-111 c,Kepler-111,1,2,Transit,2014,224.77833,7.084,222.47988,0.7,352.0,2.48,3.42,0.176,0.65,141.0,0.5925707277597946
TOI-1260 b,TOI-1260,1,3,Transit,2021,3.127463,2.41,8.56,0.02693,871.0,95.58,3.35,0.0,0.2,11.73,0.49036098832193026
TOI-2136 b,TOI-2136,1,1,Transit,2022,7.851928,2.19,6.37,0.02004,395.0,4.0,3.34,0.0,0.35,35.75,0.5636628669282393
TOI-2196 b,TOI-2196,1,1,Transit,2022,1.1947268,3.51,26.0,0.08181,1860.0,2000.0,3.31,0.0,0.712,4.61,0.4334518561962626
LTT 3780 c,LTT 3780,2,2,Transit,2020,12.252284,2.39,8.04,0.0253,359.0,2.76,3.24,0.024,0.794,43.0,0.5542014828061548
TOI-561 d,TOI-561,1,4,Transit,2020,25.7124,2.82,13.2,0.04153,598.0,21.4,3.2,0.122,0.45,40.04,0.46190682515217824
HD 207496 b,HD 207496,1,1,Transit,2023,6.441008,2.25,6.1,0.01919,743.0,72.9,3.17,0.231,0.43,21.47,0.4315703753985173
K2-3 b,K2-3,1,3,Transit,2015,10.0546535,2.078,5.11,0.01608,501.0,10.5,3.11,0.107,0.31,29.44,0.49094226594777424
HD 23472 c,HD 23472,1,5,Transit,2019,29.79749,1.87,3.41,0.01073,467.0,7.96,3.1,0.063,0.785,50.2,0.46485972908729584
Kepler-849 b,Kepler-849,1,1,Transit,2016,394.62508,8.082,298.7587,0.94,363.0,2.86,3.09,0.078,0.19,134.0,0.6243377651812078
TOI-132 b,TOI-132,1,1,Transit,2020,2.1097019,3.42,22.4,0.07048,1395.0,860.0,3.08,0.059,0.533,6.362,0.43787195712350635
K2-114 b,K2-114,1,1,Transit,2017,11.3909311,10.447,638.8351,2.01,701.0,40.0,3.08,0.081,0.361,24.63,0.4635456129608619
TOI-2000 b,TOI-2000,1,2,Transit,2023,3.09833,2.7,11.0,0.0347,1488.0,628.0,3.07,0.0,0.77,8.1,0.4232676797640599
K2-285 b,K2-285,1,4,Transit,2018,3.471745,2.59,9.68,0.03046,1089.0,234.31,3.07,0.0,0.57,10.43,0.4446285966503918
TOI-3261 b,TOI-3261,1,1,Transit,2024,0.8831331,3.82,30.3,0.09533,1722.0,1466.0,3.0,0.0,0.17,4.333,0.48076029851534163
